tiempo,temp
5,38.43
10,38.34
35,38.53
40,38.62
45,38.81
75,38.72
105,38.9
135,39.0
155,39.09
170,39.19
175,39.29
185,39.76
200,40.34
205,39.38
210,39.48
220,39.57
235,39.67
245,39.96
250,39.86
275,40.15
295,40.25
320,40.44
330,40.54
340,40.63
360,40.93
365,41.02
370,40.73
375,40.83
400,41.22
450,41.32
460,41.42
465,41.61
475,41.12
480,41.71
485,41.52
495,41.81
510,41.91
520,42.01
535,42.21
545,42.11
565,42.31
575,42.41
600,42.71
605,42.51
635,42.61
660,43.01
670,42.81
680,42.91
685,43.11
720,43.42
725,43.22
750,43.32
765,43.52
830,44.24
835,43.62
845,43.73
855,43.83
870,43.93
895,44.03
925,44.45
950,44.14
955,44.34
970,44.55
985,44.76
990,44.86
1005,44.97
1020,44.65
1055,45.39
1065,46.02
1095,45.18
1120,45.28
1145,45.07
1195,45.81
1215,45.49
1240,45.6
1245,45.7
1280,45.92
1325,46.24
1370,46.56
1400,46.13
1415,46.67
1420,46.35
1430,46.45
1535,46.99
1630,46.89
1635,46.78
1670,47.21
1675,47.1
1685,47.76
